date,score,technical,volume,margin,institutional,mdd_5d_pct,mdd_20d_pct
2023-12-08,78.2,82.3,75.7,69.1,85.7,0.0,2.2959
2023-12-11,74.6,82.2,80.1,68.3,67.7,0.1236,2.2959
2023-12-12,77.1,82.4,80.7,67.8,77.5,0.5506,2.5943
2023-12-13,75.7,81.8,81.7,67.8,71.4,0.5506,2.5943
2023-12-14,81.0,83.4,74.8,66.0,100.0,0.7363,2.5943
2023-12-15,74.8,83.3,68.0,69.4,78.4,0.7363,2.5943
2023-12-18,73.8,90.7,81.2,69.7,53.8,0.6135,3.2566
2023-12-19,73.4,88.5,81.4,68.9,54.6,0.5186,4.2888
2023-12-20,80.9,89.7,81.4,66.5,86.1,0.5186,4.2888
2023-12-21,71.1,88.0,76.7,67.5,52.3,0.0,4.2888
2023-12-22,77.9,88.7,80.3,68.6,74.2,0.0,4.2888
2023-12-25,76.3,89.2,77.8,69.9,68.2,0.4297,4.2888
2023-12-26,81.6,90.4,67.5,68.6,100.0,2.0719,4.2888
2023-12-27,83.4,90.6,74.7,68.4,100.0,2.1257,4.2888
2023-12-28,80.3,90.5,80.2,66.0,84.4,2.2959,4.2888
2023-12-29,78.0,90.6,78.3,63.9,79.1,2.2959,4.2888
2024-01-02,73.8,90.1,79.7,61.6,63.8,1.8742,3.8758
2024-01-03,56.2,77.8,68.5,58.8,19.5,0.6091,2.3381
2024-01-04,69.5,77.4,79.9,56.1,64.4,0.6091,2.3381
2024-01-05,73.1,77.1,79.4,69.5,66.4,0.6091,2.3381
2024-01-08,74.6,77.5,79.9,70.9,70.2,0.6091,2.3381
2024-01-09,74.5,76.6,79.9,73.3,68.3,1.1395,2.1943
2024-01-10,73.7,75.2,78.7,73.6,67.4,2.1943,2.1943
2024-01-11,79.2,76.3,79.6,78.3,82.6,2.1943,2.1943
2024-01-12,71.7,75.1,79.2,61.5,70.9,2.1943,2.1943
2024-01-15,66.9,75.4,80.0,68.9,43.4,2.1943,2.1943
2024-01-16,58.2,72.1,76.6,67.2,17.0,1.0669,1.2697
2024-01-17,57.0,68.0,75.3,66.6,17.9,0.0,1.2697
2024-01-18,67.8,68.9,79.8,69.0,53.6,0.0,1.2697
2024-01-19,84.1,84.9,80.9,70.7,100.0,0.0422,1.2697
2024-01-22,83.2,86.6,78.2,71.3,96.9,0.0422,1.2697
2024-01-23,78.2,87.3,81.2,69.9,74.4,0.4691,1.2697
2024-01-24,76.0,86.6,79.6,68.3,69.6,1.2697,1.2697
2024-01-25,81.6,87.6,75.5,68.2,95.1,1.2697,1.2697
2024-01-26,76.1,87.2,78.5,69.8,68.9,1.2697,1.2697
2024-01-29,80.3,88.4,73.7,71.1,88,1.2697,1.2697
2024-01-30,76.3,87.0,79.6,70.5,68.2,0.8044,0.8044
2024-01-31,66.8,85.4,74.1,69.6,38.3,0.2002,0.4942
2024-02-01,82.0,86.6,79.9,70.5,91.2,0.2002,0.4942
2024-02-02,78.5,88.0,74.7,71.1,80.3,0.2002,0.4942
2024-02-05,72.3,88.2,79.6,72.6,48.8,0.4098,0.4942
2024-02-15,84.4,91.2,75.3,71.0,100.0,0.4098,1.2811
2024-02-16,78.4,91.9,81.7,69.1,71.0,0.4098,1.2811
2024-02-19,72.2,91.9,83.3,65.0,48.5,0.4098,1.2811
2024-02-20,76.1,91.6,76.6,64.3,71.8,0.4942,1.2811
2024-02-21,70.8,91.8,82.1,62.4,46.9,0.4942,1.2811
2024-02-22,78.0,91.3,77.7,61.6,81.2,0.4942,1.2811
2024-02-23,83.5,90.4,83.2,69.2,91.1,0.4942,1.2811
2024-02-26,77.3,90.2,81.2,68.5,69.5,0.4942,1.2811
2024-02-27,71.5,91.3,82.8,70.4,41.5,0.1626,1.2811
2024-02-29,76.7,90.8,77.5,67.3,71.1,0.1626,1.2811
2024-03-01,78.5,91.0,82.6,69.1,71.5,0.0,1.2811
2024-03-04,83.0,87.2,78.5,67.0,99.4,0.2994,1.2811
2024-03-05,77.2,86.7,82.7,68.2,71.2,0.2994,1.2811
2024-03-06,73.9,85.7,78.1,64.7,67.2,0.2994,1.2811
2024-03-07,74.6,83.0,75.1,68.7,71.7,0.2994,1.2811
2024-03-08,79.1,82.3,67.4,73.0,93.6,1.2811,1.2811
2024-03-11,75.2,84.8,79.9,71.2,65.1,1.2811,1.2811
2024-03-12,74.1,82.5,76.8,66.2,70.8,1.2811,1.2811
2024-03-13,68.5,84.2,81.5,39.4,69.0,1.2811,1.2811
2024-03-14,74.4,85.5,81.6,67.0,63.5,1.2811,1.6658
2024-03-15,70.5,86.9,77.9,69.3,47.7,0.4799,4.3
2024-03-18,74.2,87.1,74.3,65.4,69.9,0.4799,4.3
2024-03-19,68.8,87.4,81.0,38.9,67.7,0.5039,4.3
2024-03-20,67.6,87.5,82.7,64.7,35.7,0.5039,6.1025
2024-03-21,79.7,86.3,81.2,56.3,94.9,0.5039,6.6598
2024-03-22,74.9,86.1,82.6,59.9,71.1,0.5039,6.6598
2024-03-25,68.6,86.5,78.6,47.2,62.2,0.3554,6.6598
2024-03-26,75.8,86.8,81.0,70.5,64.9,0.3554,6.6598
2024-03-27,76.0,87.4,78.5,69.0,69.2,0.6301,6.6598
2024-03-28,75.1,87.5,80.2,69.0,63.5,0.6301,6.6598
2024-03-29,82.4,87.5,75.5,69.7,96.8,0.6301,6.6598
2024-04-01,75.7,86.8,80.4,70.2,65.5,0.6301,6.6598
2024-04-02,75.3,85.9,74.8,69.7,70.9,0.6301,6.6598
2024-04-03,65.6,86.2,73.5,65.6,37.1,0.2867,6.6598
2024-04-08,69.8,85.8,79.4,66.3,47.8,1.6658,6.6598
2024-04-09,75.1,84.1,79.5,53.2,83.7,4.3,6.6598
2024-04-10,75.9,84.8,80.9,69.0,68.9,4.1494,6.5129
2024-04-11,75.2,84.8,81.2,69.7,65.0,4.1018,6.4665
2024-04-12,75.0,85.2,81.3,68.6,64.9,5.8324,6.3914
2024-04-15,65.0,86.1,77.1,67.5,29.4,5.0785,5.0785
2024-04-16,57.3,77.9,57.4,73.2,20.8,4.3839,4.3839
2024-04-17,66.6,79.9,76.4,72.0,38.0,4.3839,4.3839
2024-04-18,75.4,80.2,80.5,70.0,70.8,4.3839,4.3839
2024-04-19,51.6,70.7,47.8,68.3,19.5,1.3626,1.3626
2024-04-22,68.9,67.5,76.3,74.3,57.4,1.3626,1.3626
2024-04-23,73.7,70.2,72.1,76.0,76.7,1.3626,1.3626
2024-04-24,82.1,77.8,78.6,72.0,100.0,1.3626,1.3626
2024-04-25,62.7,73.7,73.3,67.9,35.9,1.3324,1.3324
2024-04-26,76.5,76.9,75.1,66.5,87.7,1.3324,1.3324
2024-04-29,84.2,89.0,80.4,67.5,100.0,1.3324,1.3324
2024-04-30,75.2,87.4,77.6,65.1,70.7,0.8539,0.8963
2024-05-02,64.4,77.3,74.8,61.4,44.3,0.6751,2.2597
2024-05-03,75.1,85.4,75.3,58.9,80.8,0.6751,3.1301
2024-05-06,76.9,88.2,75.3,56.3,87.6,0.6751,3.1301
2024-05-07,73.0,89.5,74.9,56.0,71.6,0.6751,3.1301
2024-05-08,73.2,88.8,79.9,53.2,71.2,0.6751,3.1301
2024-05-09,67.7,86.5,75.2,69.4,39.7,0.0,3.1301
2024-05-10,78.8,88.3,76.2,68.1,82.7,0.2149,3.1301
2024-05-13,78.4,89.8,75.7,70.6,77.6,0.2149,3.1301
2024-05-14,81.0,90.4,76.1,69.4,88,0.3169,3.1301
2024-05-15,82.1,91.5,77.2,71.6,88,0.3169,3.1301
2024-05-16,84.3,90.2,78.1,69.7,99.1,0.3169,3.1301
2024-05-17,75.7,90.3,80.7,70.0,61.8,0.1948,3.1301
2024-05-20,76.7,92.0,82.0,69.7,63.2,0.1948,3.1301
2024-05-21,75.7,92.2,79.6,69.7,61.2,0.1948,3.1301
2024-05-22,82.4,90.0,76.6,69.5,93.6,0.8963,3.1301
2024-05-23,79.1,90.7,82.7,68.9,74.1,2.2597,3.1301
2024-05-24,77.1,91.3,79.6,67.7,70.1,3.1301,3.1301
2024-05-27,73.8,90.1,76.9,62.7,65.5,3.1301,3.1301
2024-05-28,74.9,89.5,81.8,65.2,63.2,3.1301,3.1301
2024-05-29,65.5,90.5,77.2,66.7,27.5,2.254,2.531
2024-05-30,63.2,90.1,75.8,69.7,17.0,0.8905,2.531
2024-05-31,65.7,79.4,75.1,69.3,38.9,0.8364,2.531
2024-06-03,77.7,91.1,78.0,68.3,73.5,0.8364,2.531
2024-06-04,68.8,88.0,75.9,68.9,42.3,0.5049,2.531
2024-06-05,69.3,89.5,73.7,68.1,45.8,0.5049,2.531
2024-06-06,81.4,91.1,79.0,68.4,87.2,0.5049,2.531
2024-06-07,73.1,91.0,80.6,67.3,53.5,0.3031,2.531
2024-06-11,68.1,90.9,81.4,69.3,30.8,0.0364,2.531
2024-06-12,78.7,89.9,74.5,70.0,80.3,0.0364,2.531
2024-06-13,81.4,88.5,76.1,70.2,90.9,0.0364,2.531
2024-06-14,77.9,87.5,75.8,67.9,80.5,0.6524,2.531
2024-06-17,71.4,88.0,80.9,67.4,49.2,2.531,2.531
2024-06-18,77.3,87.1,76.1,65.0,80.8,2.531,2.531
2024-06-19,81.6,83.9,81.0,63.1,98.3,2.531,2.5429
2024-06-20,76.4,82.1,75.8,59.8,88,2.531,4.0654
2024-06-21,66.2,84.5,75.2,55.4,49.7,1.8909,6.2352
2024-06-24,58.1,85.6,69.5,53.8,23.3,0.3511,8.7455
2024-06-25,70.5,85.2,79.6,51.5,65.9,0.7772,8.7455
2024-06-26,72.1,85.3,80.3,53.5,69.2,0.7772,9.3104
2024-06-27,67.0,86.3,80.4,53.2,47.9,0.7772,9.3104
2024-06-28,73.1,87.4,74.9,54.5,75.5,0.7772,9.3104
2024-07-01,72.5,87.2,80.5,53.4,68.9,0.7772,9.3104
2024-07-02,63.0,87.8,76.7,52.5,35.0,0.0,9.3104
2024-07-03,73.7,87.7,77.4,50.4,79.2,0.0,11.2831
2024-07-04,78.6,85.7,81.2,51.0,96.6,0.0,18.6927
2024-07-05,70.9,86.4,81.3,50.9,65.1,1.9397,18.6927
2024-07-08,66.7,84.0,77.5,51.7,53.4,2.0938,18.6927
2024-07-09,71.4,84.1,83.3,68.7,49.7,2.0938,18.6927
2024-07-10,74.4,84.2,80.6,67.9,64.8,2.5429,18.6927
2024-07-11,75.0,80.5,80.8,67.7,71.2,4.0654,18.6927
2024-07-12,60.8,83.9,71.2,67.0,21.1,4.7005,17.3619
2024-07-15,70.4,84.5,79.3,68.1,49.6,7.2519,17.3619
2024-07-16,75.6,84.2,79.5,69.2,69.6,7.2519,17.3619
2024-07-17,61.7,84.0,76.3,52.0,34.6,6.9441,16.5712
2024-07-18,58.5,77.0,70.2,60.9,25.7,5.4673,15.2471
2024-07-19,56.7,73.4,69.6,64.1,19.7,3.2906,13.2957
2024-07-22,69.5,62.5,70.2,71.3,74.1,3.2906,13.2957
2024-07-23,82.2,73.6,75.6,95,84.7,3.2906,13.2957
2024-07-26,52.6,57.8,67.7,68.1,17.0,4.4343,12.4159
2024-07-29,70.5,59.4,77.8,72.8,72.0,12.4159,12.4159
2024-07-30,62.4,60.5,78.7,70.3,40,12.4159,12.4159
2024-07-31,64.0,60.0,76.9,69.7,49.5,12.4159,12.4159
2024-08-01,75.1,69.3,77.7,67.7,85.8,12.4159,12.4159
2024-08-02,51.1,49.1,69.2,67.4,18.6,8.352,8.352
2024-08-05,32.9,19.7,54.3,30.7,26.9,1.9966,1.9966
2024-08-06,74.8,33.0,81.4,100.0,84.8,1.9966,1.9966
2024-08-07,74.0,46.7,76.2,100.0,73.2,1.9966,5.9581
2024-08-08,43.3,40.4,59.2,43,30.4,0.5996,5.9581
2024-08-09,71.9,49.9,77.2,72.5,88.0,0.5996,5.9581
2024-08-12,68.1,45.3,66.2,74.1,86.6,0.5996,5.9581
2024-08-13,65.9,46.4,72.0,74.9,70.4,0.5996,6.0859
2024-08-14,72.1,49.4,73.1,76.4,89.3,0.8525,6.2334
2024-08-15,61.0,47.3,63.8,74.7,58.4,1.2496,6.2334
2024-08-16,78.4,61.7,76.7,75.4,100.0,1.2496,6.2334
2024-08-19,66.4,63.2,73.5,73.2,55.4,1.2496,6.2334
2024-08-20,71.8,64.5,78.0,73.5,71.3,1.2496,6.2334
2024-08-21,62.3,62.9,74.0,72.5,40,0.4005,5.9885
2024-08-22,63.5,60.2,71.6,68.5,53.7,0.7546,5.9885
2024-08-23,68.9,61.9,78.1,64.1,71.4,0.7546,5.9885
2024-08-26,68.6,63.0,80.2,61.4,69.7,0.7546,5.9885
2024-08-27,61.1,61.9,76.9,57.5,48.3,1.2447,5.9885
2024-08-28,59.5,64.6,67.2,55.3,50.9,5.7124,5.9885
2024-08-29,53.5,61.0,73.2,51.8,28.0,5.2781,5.5554
2024-08-30,66.8,64.3,79.4,50.3,73.2,5.2781,5.5554
2024-09-02,59.5,64.4,77.8,51.4,44.5,5.1376,5.4153
2024-09-03,62.5,64.7,74.5,53.3,57.7,4.6538,4.8035
2024-09-04,45.2,42.1,53.1,68.4,17.0,1.8856,2.7747
2024-09-05,56.8,44.5,79.6,72.0,31.1,1.8856,2.7747
2024-09-06,66.4,46.1,73.2,72.4,74.1,1.8856,2.7747
2024-09-09,51.3,42.0,75.3,63.2,24.8,0.5365,2.7747
2024-09-10,54.7,41.1,79.8,65.5,32.4,0.7837,2.7747
