date,score,technical,volume,margin,institutional,mdd_5d_pct,mdd_20d_pct
2023-12-08,79.4,82.3,75.7,73.9,85.7,0.0,2.2959
2023-12-11,75.9,82.2,80.1,73.5,67.7,0.1236,2.2959
2023-12-12,78.4,82.4,80.7,73.1,77.5,0.5506,2.5943
2023-12-13,77.0,81.8,81.7,73.2,71.4,0.5506,2.5943
2023-12-14,82.7,83.4,74.8,72.6,100.0,0.7363,2.5943
2023-12-15,75.9,83.3,68.0,73.8,78.4,0.7363,2.5943
2023-12-18,74.9,90.7,81.2,73.7,53.8,0.6135,3.2566
2023-12-19,74.3,88.5,81.4,72.9,54.6,0.5186,4.2888
2023-12-20,82.3,89.7,81.4,72.2,86.1,0.5186,4.2888
2023-12-21,72.4,88.0,76.7,72.6,52.3,0.0,4.2888
2023-12-22,79.1,88.7,80.3,73.4,74.2,0.0,4.2888
2023-12-25,77.3,89.2,77.8,73.9,68.2,0.4297,4.2888
2023-12-26,82.9,90.4,67.5,73.9,100.0,2.0719,4.2888
2023-12-27,84.8,90.6,74.7,73.9,100.0,2.1257,4.2888
2023-12-28,81.9,90.5,80.2,72.7,84.4,2.2959,4.2888
2023-12-29,80.0,90.6,78.3,71.8,79.1,2.2959,4.2888
2024-01-02,75.9,90.1,79.7,70.1,63.8,1.8742,3.8758
2024-01-03,58.5,77.8,68.5,68.2,19.5,0.6091,2.3381
2024-01-04,72.1,77.4,79.9,66.5,64.4,0.6091,2.3381
2024-01-05,74.1,77.1,79.4,73.5,66.4,0.6091,2.3381
2024-01-08,75.4,77.5,79.9,74.1,70.2,0.6091,2.3381
2024-01-09,75.0,76.6,79.9,75.1,68.3,1.1395,2.1943
2024-01-10,74.1,75.2,78.7,75.0,67.4,2.1943,2.1943
2024-01-11,79.2,76.3,79.6,78.3,82.6,2.1943,2.1943
2024-01-12,73.7,75.1,79.2,69.7,70.9,2.1943,2.1943
2024-01-15,68.2,75.4,80.0,73.8,43.4,2.1943,2.1943
2024-01-16,59.3,72.1,76.6,71.4,17.0,1.0669,1.2697
2024-01-17,58.0,68.0,75.3,70.7,17.9,0.0,1.2697
2024-01-18,68.5,68.9,79.8,71.8,53.6,0.0,1.2697
2024-01-19,84.8,84.9,80.9,73.6,100.0,0.0422,1.2697
2024-01-22,84.2,86.6,78.2,75.2,96.9,0.0422,1.2697
2024-01-23,79.4,87.3,81.2,74.7,74.4,0.4691,1.2697
2024-01-24,77.4,86.6,79.6,73.6,69.6,1.2697,1.2697
2024-01-25,82.8,87.6,75.5,73.0,95.1,1.2697,1.2697
2024-01-26,77.1,87.2,78.5,73.5,68.9,1.2697,1.2697
2024-01-29,81.3,88.4,73.7,75.0,88,1.2697,1.2697
2024-01-30,77.4,87.0,79.6,74.8,68.2,0.8044,0.8044
2024-01-31,67.9,85.4,74.1,73.8,38.3,0.2002,0.4942
