date,score,technical,volume,margin,institutional,mdd_5d_pct,mdd_20d_pct
2020-11-11,29.2,20.6,40.3,36.1,20.0,0.3047,1.1177
2020-11-12,31.6,21.2,28.4,35.9,40.7,0.3693,1.1177
2020-11-13,31.6,19.8,30.4,36.4,39.6,0.4128,1.1177
2020-11-16,24.3,20.2,29.9,35.7,11.2,0.4128,1.2445
2020-11-17,26.4,19.8,28.4,35.3,22,0.5107,2.235
2020-11-18,26.3,23.4,33.4,34.6,13.8,1.0029,2.235
2020-11-19,37.2,21.5,29.6,35.0,62.9,1.0029,2.235
2020-11-20,33.5,20.5,30.1,36.0,47.5,1.0029,2.235
2020-11-23,30.6,23.2,33.5,35.7,29.9,1.1177,2.235
2020-11-24,33.7,20.8,32.0,34.8,47.2,1.0399,2.235
2020-11-25,37.6,19.4,26.7,35.1,69.2,1.0399,2.235
2020-11-26,31.6,20.3,33.9,34.9,37.3,1.0399,2.235
2020-11-27,32.0,20.8,27.9,35.4,43.7,1.0399,2.235
2020-11-30,51.1,18.8,48.9,48.6,88.2,0.0861,2.235
2020-12-01,36.1,19.7,35.2,49.6,39.7,0.0861,2.235
2020-12-02,36.2,20.5,33.5,53.0,37.8,0.0861,2.235
2020-12-03,36.7,19.8,27.5,38.8,60.6,0.9774,2.235
2020-12-04,32.4,21.7,33.8,48.6,25.3,0.9774,2.235
2020-12-07,42.6,23.0,41.6,47.1,58.7,1.2445,2.235
2020-12-08,36.5,24.9,33.2,48.7,39.2,2.235,2.235
2020-12-09,34.7,23.5,27.3,47.8,40.2,2.235,2.235
2020-12-10,42.4,22.1,32.4,40.6,74.7,1.3545,1.4425
2020-12-11,33.2,22.0,27.5,39.1,44.3,1.3545,1.4425
2020-12-14,37.8,22.9,30.4,41.2,56.5,1.003,1.4425
2020-12-15,44.8,22.5,33.6,43.1,80.1,1.4425,1.4425
2020-12-16,27.5,23.5,33.3,43.3,10,1.4425,1.4425
2020-12-17,34.0,22.9,35.2,42.0,35.8,1.4425,1.4425
2020-12-18,34.3,22.5,31.2,43.4,40.0,1.4425,1.4425
2020-12-21,32.6,23.1,34.3,43.7,29.1,1.4425,1.4425
2020-12-22,41.5,21.9,35.3,44.2,64.5,0.0761,1.0018
2020-12-23,34.3,21.3,31.8,43.6,40.6,0.0761,1.0018
2020-12-24,33.0,21.5,30.8,43.9,35.6,0.0761,1.0018
2020-12-25,32.6,21.3,30.9,45.7,32.5,0.0761,1.2829
2020-12-28,32.6,21.1,34.5,55.9,19.0,0.0761,3.0638
