date,close,volume,margin_balance,turnover_value,foreign_net,investment_trust_net,dealer_net,margin_maintenance_pct,margin_top10_concentration_pct,margin_hhi,margin_top3_industry_concentration_pct,short_margin_ratio_pct,high_margin_cap_exposure_pct
2026-01-12,30567.29,10706885024.0,356489999000.0,626408176303.0,-12166567091.0,-10000119015.0,7671586285.0,,,,,,
2026-01-13,30707.22,12095287473.0,355638826000.0,749179436618.0,15741315371.0,-6772933457.0,3870571836.0,,,,,,
2026-01-14,30941.78,11337766253.0,358452806000.0,681983353722.0,13282502115.0,-6511675220.0,7113098768.0,,,,,,
2026-01-15,30810.58,11502671786.0,359299228000.0,671953720007.0,-210224483.0,-2779111513.0,-5843268259.0,,,,,,
2026-01-16,31408.7,12754630286.0,363391797000.0,851452408675.0,39916564467.0,-7719604109.0,5054434102.0,,,,,,
2026-01-19,31639.29,13668186807.0,369415656000.0,823428003269.0,-27794762468.0,-13122703996.0,-5300507794.0,,,,,,
2026-01-20,31759.99,13170800649.0,371225738000.0,799639371793.0,-3983496875.0,-8799345593.0,-2931907087.0,,,,,,
2026-01-21,31246.37,14446040108.0,367750150000.0,899309076186.0,-44568289093.0,-17508438068.0,-15560522274.0,,,,,,
2026-01-22,31746.08,13104288592.0,371734427000.0,814595841360.0,19278125481.0,-1918073606.0,7042295015.0,,,,,,
2026-01-23,31961.51,12103342453.0,376076978000.0,818428930073.0,23208504577.0,-837591190.0,4687425919.0,,,,,,
2026-01-26,32064.52,11574650763.0,381580658000.0,747339306040.0,-1492774680.0,-4126731033.0,-3321537471.0,,,,,,
2026-01-27,32317.92,12767369519.0,382728015000.0,817604546187.0,22278875956.0,-5018348773.0,5315618657.0,,,,,,
2026-01-28,32803.82,12947973323.0,384920473000.0,853922428449.0,33275865867.0,-1387712336.0,-1846811846.0,,,,,,
2026-01-29,32536.27,13552952931.0,381778070000.0,959652045839.0,14659217084.0,-2959104359.0,-13416003792.0,,,,,,
2026-01-30,32063.75,13417799586.0,383893252000.0,941320964545.0,-51239194984.0,-3302144713.0,-9392862410.0,,,,,,
