date,close,volume,margin_balance,turnover_value,foreign_net,investment_trust_net,dealer_net,margin_maintenance_pct,margin_top10_concentration_pct,margin_hhi,margin_top3_industry_concentration_pct,short_margin_ratio_pct,high_margin_cap_exposure_pct
2023-06-16,17288.91,9722832664.0,190319897000.0,458071268251.0,3270007552.0,-4092392850.0,5459978079.0,178.5913,17.6979,64.7276,46.4986,4.5364,2.0072
2023-06-19,17274.56,7496332700.0,191504227000.0,325752345822.0,-4430901637.0,-291657499.0,2185947436.0,178.1677,17.4692,64.3928,46.5582,4.3567,2.4575
2023-06-20,17184.91,6812226193.0,192097126000.0,323760551792.0,4630387474.0,-5563163884.0,-4161680648.0,177.245,17.5742,64.3201,46.2649,4.318,2.2542
2023-06-21,17202.4,6883193242.0,193903234000.0,330846939545.0,1720164695.0,-1704648199.0,-1020771941.0,178.052,18.0554,66.98,46.7227,4.2522,2.1812
2023-06-26,17059.24,6663091855.0,194209498000.0,304113691355.0,-25267418338.0,-278893420.0,3905562064.0,176.5156,18.1512,67.135,46.1081,4.2141,2.3774
2023-06-27,16887.9,6665715878.0,191585955000.0,300267986684.0,-10926566452.0,-2992651612.0,285529279.0,173.2165,18.0673,65.9342,45.7733,3.9173,3.2954
2023-06-28,16935.63,5940529264.0,192361945000.0,265292692304.0,-9543149233.0,502131120.0,3759487692.0,174.0046,18.0389,65.3561,45.388,4.2315,3.4644
2023-06-29,16942.3,6173036702.0,192815870000.0,273567577177.0,-5323869836.0,-450314790.0,11603827223.0,175.8267,17.9201,65.4806,45.6685,4.0975,3.3504
2023-06-30,16915.54,6671810338.0,194355483000.0,313162137001.0,-9330512065.0,-181754712.0,-428802962.0,176.4,17.8613,66.4031,46.7347,4.1601,3.1904
2023-07-03,17084.2,7397864362.0,196599121000.0,343298643858.0,5670713946.0,-825605534.0,13228466984.0,179.2377,17.7037,67.0608,46.8329,4.3708,3.1168
2023-07-04,17140.77,7951802237.0,199156773000.0,382879549186.0,-2298511662.0,-2278191951.0,-3039365295.0,180.0032,17.7621,67.705,47.4708,4.5315,3.0699
2023-07-05,17056.43,7276803562.0,200919501000.0,342355262696.0,-13087337277.0,-608240445.0,-4313178637.0,178.4873,17.6257,67.085,46.9591,4.3036,2.9149
2023-07-06,16762.17,7884657415.0,201519796000.0,354495894249.0,-38750651642.0,229020250.0,-7346984661.0,177.1776,17.7924,68.0694,47.0125,3.9772,2.8682
2023-07-07,16664.21,6849714776.0,202133095000.0,310143532160.0,-21073620661.0,-453726244.0,-4065654460.0,175.5922,17.9507,68.9912,46.8563,3.8973,2.8189
2023-07-10,16652.8,6154372401.0,202690030000.0,272429380366.0,-14191762045.0,1222600005.0,-1474095888.0,175.1776,17.703,68.5372,46.9744,3.797,2.8377
2023-07-11,16898.91,6961862550.0,203225770000.0,319945844753.0,15923649963.0,89042252.0,3013949785.0,177.1267,18.1538,71.2771,47.7254,3.8215,3.1974
2023-07-12,16962.03,7334366051.0,204662496000.0,353979352487.0,-5657545302.0,1652011497.0,2219924534.0,178.0269,18.7311,75.5018,48.4311,3.9355,3.1411
2023-07-13,17061.4,9286862044.0,203681473000.0,471301138980.0,20619340604.0,-1512431382.0,975155766.0,178.3207,18.908,76.965,49.1283,4.0675,2.5977
2023-07-14,17283.71,8343133992.0,208523323000.0,429307830676.0,12368130017.0,-1308724150.0,2734631390.0,181.1237,19.7583,81.6693,50.727,4.108,3.4588
2023-07-17,17334.29,8368565035.0,211193373000.0,394857432672.0,3044593708.0,-1817407686.0,-883344951.0,181.1125,19.4933,79.1812,51.0761,4.1534,3.0004
2023-07-18,17227.91,9775425065.0,212775435000.0,493821366527.0,-7575807857.0,-1290216868.0,-4875210008.0,178.9904,19.8476,79.5182,51.2703,4.1732,2.8149
2023-07-19,17116.44,8084533927.0,213320841000.0,433629151083.0,642879105.0,-2115708905.0,-8006283466.0,177.4972,20.0599,79.941,51.55,4.1161,2.8973
2023-07-20,17164.89,6313982662.0,215705207000.0,320441248239.0,-5358578683.0,-1517059160.0,1436396233.0,179.4145,20.5335,82.916,51.9333,4.205,2.2656
2023-07-21,17030.7,7694988737.0,217757631000.0,439805894168.0,-28938821729.0,-2650065187.0,3025238215.0,181.4392,21.6407,90.2669,52.9919,4.1777,2.3435
2023-07-24,17033.61,7182357462.0,221087046000.0,410025080486.0,-19548618515.0,-3018587870.0,4888929758.0,181.6031,22.4916,96.6958,54.1089,3.9733,2.6807
2023-07-25,17198.89,7371305731.0,220933834000.0,429418810790.0,9599537832.0,-683473508.0,749863327.0,182.0132,22.1284,94.1732,53.5735,4.0488,3.4307
2023-07-26,17162.55,7110367784.0,221230366000.0,369539371618.0,1533480369.0,-2055422527.0,-2070509781.0,180.401,22.4594,98.9977,53.6871,3.8616,3.3051
2023-07-27,17241.82,7599016666.0,222308527000.0,355366143361.0,10455190025.0,-1550189167.0,895352723.0,181.167,22.3634,97.3408,53.8399,3.9135,2.6059
2023-07-28,17292.93,7744942863.0,224192229000.0,385595469711.0,1520273184.0,735092546.0,4278094860.0,182.4695,22.832,99.5165,54.7142,3.9492,2.5004
2023-07-31,17145.43,9128395230.0,223227529000.0,492274761788.0,-8841440470.0,1849907347.0,-2770513489.0,177.6376,21.0096,86.8705,52.7388,3.9959,1.8702
2023-08-01,17212.87,7063479689.0,224265854000.0,388596692244.0,8507356234.0,-314590253.0,-464938089.0,175.7295,20.8691,87.1282,52.945,3.8094,1.8818
2023-08-02,16893.73,9190407486.0,220305572000.0,458942053419.0,-21115829575.0,504347629.0,-14712879803.0,170.9261,20.2211,82.8187,51.7613,3.8252,1.123
2023-08-04,16843.68,7314773210.0,222303822000.0,374459881317.0,-10343555054.0,1015928182.0,-6043468571.0,171.7,20.227,82.7819,52.2166,3.8586,1.7944
2023-08-07,16996.0,6264641217.0,225559048000.0,328128942222.0,-3183120245.0,3193354023.0,-3956547100.0,175.6637,21.5953,93.4152,53.8281,3.8845,1.7601
2023-08-08,16877.07,6750517163.0,225860740000.0,379273468996.0,-19299907898.0,3567917217.0,-7591603489.0,174.6235,22.0225,96.4572,54.0695,3.8785,1.9295
2023-08-09,16870.94,5957436064.0,225452960000.0,332911919375.0,3451514813.0,4444478771.0,-6456180331.0,172.6645,21.4746,90.4425,53.8546,3.9951,1.9874
2023-08-10,16634.7,7182123838.0,219889088000.0,354409765659.0,-10965174652.0,2091729534.0,-13642544146.0,166.4344,20.2389,82.3187,52.5759,3.8587,2.0741
2023-08-11,16601.25,5629266601.0,218428193000.0,295612942514.0,-2777250974.0,2361208164.0,-6961244749.0,167.2887,20.7085,84.1736,53.0881,3.7995,2.659
2023-08-14,16393.66,7357665473.0,214694153000.0,329602997888.0,-17336413780.0,6055992043.0,-10101140921.0,164.7973,21.0169,84.9696,53.5935,3.8216,1.796
2023-08-15,16454.8,5959257132.0,214891264000.0,299140094290.0,-860209588.0,1884565649.0,-1694296676.0,168.0195,21.6838,89.4689,54.4442,3.8869,1.8319
2023-08-16,16446.78,6459109192.0,216706091000.0,332691807516.0,-16182514049.0,6218678007.0,-2269507572.0,170.2372,23.1583,101.9359,55.8233,3.9361,1.5106
2023-08-17,16516.66,7125689803.0,218356038000.0,386625652682.0,-16463564805.0,4055514203.0,3740350352.0,171.5418,23.6878,105.6246,56.6844,3.9146,2.3653
2023-08-18,16381.31,7246690809.0,216306181000.0,386686419495.0,-19330183676.0,1307452466.0,-6113081259.0,167.8953,22.5129,96.8348,55.536,3.9874,2.7582
2023-08-21,16381.49,5426098410.0,216417602000.0,267169264927.0,7968085249.0,911323831.0,-1141715456.0,168.2796,22.4793,95.1225,55.6161,4.0325,2.8634
2023-08-22,16437.61,5428567404.0,215728781000.0,310261433435.0,6292422761.0,2915609006.0,-3627663667.0,168.8315,22.5196,94.8139,55.6407,4.1333,2.0179
2023-08-23,16576.9,5531007128.0,215978895000.0,294236734722.0,6160965424.0,2138628214.0,608146391.0,170.107,22.7176,94.8265,55.6898,4.3245,1.9935
2023-08-24,16770.87,7596547484.0,215117332000.0,451206212304.0,12336575868.0,3068306287.0,216107732.0,170.1984,21.8994,87.5423,54.7469,4.2261,2.3258
2023-08-25,16481.58,6149183528.0,216403915000.0,328040732611.0,-33622209533.0,873777635.0,-8560790293.0,167.4184,21.8926,85.9678,54.3114,4.1958,2.3302
2023-08-28,16509.26,5650625975.0,216013073000.0,283265301696.0,-2894400641.0,1616623936.0,-4998141614.0,167.2758,21.5046,82.8142,53.6736,4.2359,2.8494
2023-08-29,16623.65,5029684235.0,216477468000.0,253647729589.0,4132593656.0,3176619251.0,-112864710.0,169.6331,21.7628,83.8634,53.863,4.3547,2.7512
2023-08-30,16719.82,5783468578.0,217629337000.0,284810372568.0,7151162482.0,2989378862.0,2395765015.0,170.927,21.7805,83.7827,54.1563,4.4198,2.3348
2023-08-31,16634.51,6337598125.0,219385248000.0,360264848033.0,-5628181004.0,2169967493.0,-13418802.0,171.7615,22.172,86.8131,54.2922,4.4283,2.1754
2023-09-01,16644.94,5858177062.0,219345067000.0,285881904015.0,-8541285632.0,2969481032.0,-3194321632.0,170.4549,21.3039,81.9333,53.8212,4.4928,2.6783
2023-09-04,16789.69,5493751600.0,219908906000.0,236792637891.0,1539332808.0,1625742991.0,-437859277.0,171.3229,21.3882,82.1115,54.2446,4.5234,3.5734
2023-09-05,16791.61,5389791575.0,221927290000.0,253114050171.0,1208680435.0,1839881446.0,-931798033.0,172.6099,21.1987,81.4028,54.4741,4.4635,3.7215
2023-09-06,16738.16,6167718930.0,222705616000.0,276652928319.0,-8074073155.0,3902195328.0,-4192611149.0,172.3646,21.3372,81.8618,54.6511,4.5165,3.7174
2023-09-07,16619.14,5529953873.0,223658285000.0,242647259483.0,-17860524290.0,3808661358.0,-7833777023.0,170.9745,21.463,82.7915,54.5339,4.5178,3.9324
2023-09-08,16576.02,5107734295.0,223708098000.0,231221477707.0,-13780317837.0,4410440411.0,-6269927640.0,169.5799,21.098,80.7191,54.1792,4.5791,3.9159
2023-09-11,16432.95,6051740774.0,220826336000.0,289197153502.0,-13511468711.0,4392311625.0,-11114156362.0,166.357,20.3472,76.1253,53.1909,4.5653,3.8573
2023-09-12,16572.71,5408148941.0,219799886000.0,252089526857.0,8425483496.0,3642423924.0,-3724453849.0,166.5726,20.4067,75.8381,52.9914,4.6146,3.2228
2023-09-13,16581.51,5515375610.0,221265131000.0,257156739516.0,-1836021272.0,3588050397.0,-4029597407.0,167.6012,20.6427,76.4955,53.1708,4.6094,3.049
2023-09-14,16807.56,6359872041.0,222173129000.0,287879491839.0,18929234763.0,5098749609.0,301655795.0,170.2296,20.8023,77.3867,53.4967,4.6801,3.1418
2023-09-15,16920.92,8158060851.0,223415131000.0,405252257141.0,8423586552.0,6281771223.0,-2686587023.0,170.858,20.701,77.0108,53.4686,4.6061,4.2086
2023-09-18,16698.24,6078273272.0,225804055000.0,285640373573.0,-25634115612.0,1614320343.0,-9686409224.0,169.3862,20.4391,75.947,53.4237,4.5216,3.296
2023-09-19,16636.32,5645206978.0,226198880000.0,283527298253.0,-12737822132.0,3738986276.0,-6542507494.0,167.7081,20.1878,74.9446,53.1292,4.5835,4.1345
2023-09-20,16534.75,5988536416.0,226604409000.0,284352574873.0,-18210995734.0,2364588924.0,-9343504712.0,165.9692,20.227,75.718,53.1007,4.5519,3.2196
2023-09-21,16316.67,6133771148.0,226342362000.0,283997214878.0,-33995733397.0,180184084.0,-5998675214.0,164.1912,20.4833,76.4952,53.1446,4.5388,3.4911
2023-09-22,16344.48,5214709875.0,227096497000.0,241559833091.0,-14834019504.0,2262001983.0,-1687871080.0,166.5747,20.869,78.4684,53.6026,4.5468,3.5688
2023-09-25,16452.23,4790555700.0,228199811000.0,217367838648.0,-3095632448.0,3209180502.0,-1037903410.0,168.3538,21.0138,79.1741,53.4837,4.5971,3.6776
2023-09-26,16276.07,5184686280.0,228126347000.0,239781075657.0,-23162936765.0,3182055501.0,-6947024292.0,166.6982,20.7013,78.2405,53.4275,4.6016,3.7965
2023-09-27,16310.36,4601829067.0,228273095000.0,219293258584.0,-1508378471.0,2091767504.0,-5321028757.0,167.4979,20.9247,79.4256,53.6748,4.6077,3.8424
2023-09-28,16353.74,5113712427.0,229445392000.0,267191678046.0,-7748660757.0,3372333740.0,-1811443979.0,168.2545,21.2248,81.4429,54.2231,4.6363,4.4832
2023-10-02,16557.31,5734001169.0,230009773000.0,286807963826.0,6360822379.0,5345439039.0,3534629992.0,171.0982,21.5433,83.7648,54.9177,4.6083,4.3897
2023-10-03,16454.34,5892350444.0,231304480000.0,261452891875.0,-15801419816.0,1547611338.0,-4152127531.0,168.9778,21.5572,83.8318,55.2198,4.6447,3.6351
2023-10-04,16273.38,5641720382.0,230869278000.0,242721064816.0,-25925798113.0,2246574652.0,-7774749291.0,167.9797,21.6866,84.3123,55.2429,4.604,3.6195
2023-10-05,16453.52,5252903002.0,232127773000.0,243743609136.0,-1273682796.0,912304862.0,363104043.0,169.8461,22.1728,86.6047,55.2128,4.5204,5.0851
2023-10-06,16520.57,4802052603.0,231914570000.0,223002457611.0,-3512808207.0,2093288939.0,-601246646.0,169.9591,22.5618,88.9186,55.3088,4.4246,5.0546
2023-10-11,16672.03,6743900141.0,228594100000.0,375688470719.0,23108464703.0,1112792765.0,1248373593.0,167.5034,22.2821,86.8303,54.8351,4.218,5.0058
2023-10-12,16825.91,5883086339.0,228764111000.0,303160113281.0,24099762654.0,1912486741.0,2490362735.0,170.5078,22.2305,86.0354,54.7029,4.2799,3.8912
2023-10-13,16782.57,5853685142.0,229015871000.0,304958612617.0,-6086500977.0,-559156339.0,-1902769207.0,168.6517,21.8396,83.4209,54.5168,4.2447,5.1287
2023-10-16,16652.24,5507462914.0,228926505000.0,240758293074.0,-15625629460.0,1627936069.0,-3901719535.0,166.7578,21.9784,84.1346,54.2702,4.0092,5.6325
2023-10-17,16642.55,5405131982.0,228196070000.0,279452707382.0,-4622214459.0,-485091532.0,-2565577428.0,165.5969,21.9386,83.4008,54.2263,4.1539,4.879
2023-10-18,16440.91,7147874907.0,225736952000.0,361107901039.0,-8621099193.0,-2921126789.0,-7686048137.0,162.5211,21.6997,81.7088,53.4046,4.0613,4.7326
2023-10-19,16452.73,5556554079.0,226653107000.0,258021279278.0,-13120715615.0,2780646127.0,-490836063.0,162.9825,21.9911,83.2363,53.6279,4.0801,4.7411
