date,sector,close,daily_return_pct
2026-06-09,光電,64.0,3.83
2026-06-09,其他,278.45,1.63
2026-06-09,其他電子,299.75,2.2
2026-06-09,化學,196.31,1.26
2026-06-09,化學生技醫療,150.69,2.15
2026-06-09,半導體,1491.5,1.77
2026-06-09,塑膠,207.36,0.54
2026-06-09,居家生活,93.82,0.84
2026-06-09,建材營造,460.53,1.26
2026-06-09,數位雲端,57.26,7.55
2026-06-09,橡膠,199.39,1.3
2026-06-09,水泥,120.57,0.47
2026-06-09,汽車,296.73,1.8
2026-06-09,油電燃氣,76.53,0.53
2026-06-09,玻璃陶瓷,149.68,1.6
2026-06-09,生技醫療,80.82,2.62
2026-06-09,紡織纖維,489.05,1.74
2026-06-09,綠能環保,137.11,3.04
2026-06-09,航運,186.84,0.68
2026-06-09,觀光餐旅,101.97,-0.39
2026-06-09,貿易百貨,233.28,0.93
2026-06-09,資訊服務,213.8,0.35
2026-06-09,通信網路,257.64,2.88
2026-06-09,造紙,257.31,1.25
2026-06-09,運動休閒,63.65,4.22
2026-06-09,金融保險,3026.92,6.3
2026-06-09,鋼鐵,117.24,0.9
2026-06-09,電器電纜,107.43,1.83
2026-06-09,電子通路,391.15,2.73
2026-06-09,電子零組件,1004.4,7.0
2026-06-09,電機機械,563.73,2.68
2026-06-09,電腦及週邊設備,425.18,1.45
2026-06-09,食品,1916.81,1.13
2026-06-10,光電,62.26,-2.72
2026-06-10,其他,280.24,0.64
2026-06-10,其他電子,285.31,-4.82
2026-06-10,化學,189.87,-3.28
2026-06-10,化學生技醫療,147.94,-1.82
2026-06-10,半導體,1444.15,-3.17
2026-06-10,塑膠,199.88,-3.61
2026-06-10,居家生活,94.73,0.97
2026-06-10,建材營造,481.03,4.45
2026-06-10,數位雲端,59.48,3.88
2026-06-10,橡膠,200.53,0.57
2026-06-10,水泥,121.02,0.37
2026-06-10,汽車,296.27,-0.16
2026-06-10,油電燃氣,75.03,-1.96
2026-06-10,玻璃陶瓷,142.77,-4.62
2026-06-10,生技醫療,79.95,-1.08
2026-06-10,紡織纖維,485.29,-0.77
2026-06-10,綠能環保,133.22,-2.84
2026-06-10,航運,185.86,-0.52
2026-06-10,觀光餐旅,102.13,0.16
2026-06-10,貿易百貨,236.26,1.28
2026-06-10,資訊服務,211.91,-0.88
2026-06-10,通信網路,252.29,-2.08
2026-06-10,造紙,261.6,1.67
2026-06-10,運動休閒,65.13,2.33
2026-06-10,金融保險,2965.05,-2.04
2026-06-10,鋼鐵,116.52,-0.61
2026-06-10,電器電纜,103.78,-3.4
2026-06-10,電子通路,382.98,-2.09
2026-06-10,電子零組件,941.62,-6.25
2026-06-10,電機機械,536.99,-4.74
2026-06-10,電腦及週邊設備,409.3,-3.73
2026-06-10,食品,1924.83,0.42
2026-06-11,光電,63.12,1.38
2026-06-11,其他,282.44,0.79
2026-06-11,其他電子,282.39,-1.02
2026-06-11,化學,189.46,-0.22
2026-06-11,化學生技醫療,145.01,-1.98
2026-06-11,半導體,1444.66,0.04
2026-06-11,塑膠,201.61,0.87
2026-06-11,居家生活,94.74,0.01
2026-06-11,建材營造,477.04,-0.83
2026-06-11,數位雲端,55.25,-7.11
2026-06-11,橡膠,203.17,1.32
2026-06-11,水泥,122.06,0.86
2026-06-11,汽車,295.98,-0.1
2026-06-11,油電燃氣,75.6,0.76
2026-06-11,玻璃陶瓷,140.68,-1.46
2026-06-11,生技醫療,77.65,-2.88
2026-06-11,紡織纖維,483.45,-0.38
2026-06-11,綠能環保,130.89,-1.75
2026-06-11,航運,187.03,0.63
2026-06-11,觀光餐旅,102.73,0.59
2026-06-11,貿易百貨,237.2,0.4
2026-06-11,資訊服務,210.48,-0.67
2026-06-11,通信網路,249.67,-1.04
2026-06-11,造紙,258.37,-1.23
2026-06-11,運動休閒,65.84,1.09
2026-06-11,金融保險,2973.03,0.27
2026-06-11,鋼鐵,116.36,-0.14
2026-06-11,電器電纜,102.53,-1.2
2026-06-11,電子通路,379.12,-1.01
2026-06-11,電子零組件,938.69,-0.31
2026-06-11,電機機械,528.93,-1.5
2026-06-11,電腦及週邊設備,402.56,-1.65
2026-06-11,食品,1941.88,0.89
2026-06-12,光電,63.72,0.95
2026-06-12,其他,282.97,0.19
2026-06-12,其他電子,289.69,2.59
2026-06-12,化學,194.73,2.78
2026-06-12,化學生技醫療,148.16,2.17
2026-06-12,半導體,1489.55,3.11
2026-06-12,塑膠,215.66,6.97
2026-06-12,居家生活,96.99,2.37
2026-06-12,建材營造,478.74,0.36
2026-06-12,數位雲端,51.34,-7.08
2026-06-12,橡膠,201.91,-0.62
2026-06-12,水泥,123.81,1.43
2026-06-12,汽車,290.84,-1.74
2026-06-12,油電燃氣,77.13,2.02
2026-06-12,玻璃陶瓷,150.8,7.19
2026-06-12,生技醫療,79.1,1.87
2026-06-12,紡織纖維,484.07,0.13
2026-06-12,綠能環保,132.71,1.39
2026-06-12,航運,190.01,1.59
2026-06-12,觀光餐旅,103.37,0.62
2026-06-12,貿易百貨,240.34,1.32
2026-06-12,資訊服務,212.54,0.98
2026-06-12,通信網路,252.69,1.21
2026-06-12,造紙,260.36,0.77
2026-06-12,運動休閒,64.5,-2.04
2026-06-12,金融保險,2989.81,0.56
2026-06-12,鋼鐵,118.43,1.78
2026-06-12,電器電纜,108.67,5.99
2026-06-12,電子通路,375.25,-1.02
2026-06-12,電子零組件,955.15,1.75
2026-06-12,電機機械,540.28,2.15
2026-06-12,電腦及週邊設備,406.58,1.0
2026-06-12,食品,1959.43,0.9
2026-06-15,光電,67.11,5.32
2026-06-15,其他,281.3,-0.59
2026-06-15,其他電子,295.65,2.06
2026-06-15,化學,197.37,1.36
2026-06-15,化學生技醫療,149.83,1.13
2026-06-15,半導體,1538.77,3.3
2026-06-15,塑膠,230.98,7.1
2026-06-15,居家生活,96.08,-0.94
2026-06-15,建材營造,481.58,0.59
2026-06-15,數位雲端,48.25,-6.02
2026-06-15,橡膠,200.94,-0.48
2026-06-15,水泥,125.0,0.96
2026-06-15,汽車,296.0,1.77
2026-06-15,油電燃氣,77.56,0.56
2026-06-15,玻璃陶瓷,158.25,4.94
2026-06-15,生技醫療,79.89,1.0
2026-06-15,紡織纖維,485.69,0.33
2026-06-15,綠能環保,135.59,2.17
2026-06-15,航運,190.18,0.09
2026-06-15,觀光餐旅,103.44,0.07
2026-06-15,貿易百貨,241.62,0.53
2026-06-15,資訊服務,211.86,-0.32
2026-06-15,通信網路,257.78,2.01
2026-06-15,造紙,261.71,0.52
2026-06-15,運動休閒,61.92,-4.0
2026-06-15,金融保險,3072.19,2.76
2026-06-15,鋼鐵,119.0,0.48
2026-06-15,電器電纜,113.0,3.98
2026-06-15,電子通路,377.04,0.48
2026-06-15,電子零組件,983.92,3.01
2026-06-15,電機機械,551.02,1.99
2026-06-15,電腦及週邊設備,407.52,0.23
2026-06-15,食品,1953.48,-0.3
2026-06-16,光電,68.99,2.8
2026-06-16,其他,279.32,-0.7
2026-06-16,其他電子,293.72,-0.65
2026-06-16,化學,196.95,-0.21
2026-06-16,化學生技醫療,151.68,1.23
2026-06-16,半導體,1557.62,1.23
2026-06-16,塑膠,228.77,-0.96
2026-06-16,居家生活,97.32,1.29
2026-06-16,建材營造,478.71,-0.6
2026-06-16,數位雲端,48.26,0.02
2026-06-16,橡膠,200.28,-0.33
2026-06-16,水泥,124.25,-0.6
2026-06-16,汽車,296.37,0.13
2026-06-16,油電燃氣,77.31,-0.32
